symbol,accuracy,strategy_return,buy_hold_return,performance,sharpe_ratio,sortino_ratio,max_drawdown,volatility
CVS,0.4126984126984127,-0.2685101550053758,-0.256637168141592,-0.011872986863783797,-20.015247079682606,-32.58478100226988,-0.2874940607830099,0.0572531560975718
GILD,0.4126984126984127,-0.2685101550053758,-0.256637168141592,-0.011872986863783797,-20.015247079682606,-32.58478100226988,-0.2874940607830099,0.0572531560975718
AMGN,0.4126984126984127,-0.2685101550053758,-0.256637168141592,-0.011872986863783797,-20.015247079682606,-32.58478100226988,-0.2874940607830099,0.0572531560975718
TJX,0.47619047619047616,-0.12334290299331918,-0.07757448934627709,-0.045768413647042094,-11.198857913899182,-11.561785112722756,-0.2161449224081504,0.04194595727920718
MCD,0.5079365079365079,0.12929025729106058,0.022253725049436346,0.10703653224162424,10.9913963203487,15.192770790415858,-0.10867498716054014,0.05164656616921542
SBUX,0.5079365079365079,0.12929025729106058,0.022253725049436346,0.10703653224162424,10.9913963203487,15.192770790415858,-0.10867498716054014,0.05164656616921542
NKE,0.5079365079365079,0.12929025729106058,0.022253725049436346,0.10703653224162424,10.9913963203487,15.192770790415858,-0.10867498716054014,0.05164656616921542
LOW,0.5079365079365079,0.12929025729106058,0.022253725049436346,0.10703653224162424,10.9913963203487,15.192770790415858,-0.10867498716054014,0.05164656616921542
HD,0.5079365079365079,0.12929025729106058,0.022253725049436346,0.10703653224162424,10.9913963203487,15.192770790415858,-0.10867498716054014,0.05164656616921542
TSLA,0.5079365079365079,0.12929025729106058,0.022253725049436346,0.10703653224162424,10.9913963203487,15.192770790415858,-0.10867498716054014,0.05164656616921542
NFLX,0.5079365079365079,0.12929025729106058,0.022253725049436346,0.10703653224162424,10.9913963203487,15.192770790415858,-0.10867498716054014,0.05164656616921542
BKNG,0.47619047619047616,-0.12334290299331918,-0.07757448934627709,-0.045768413647042094,-11.198857913899182,-11.561785112722756,-0.2161449224081504,0.04194595727920718
GM,0.47619047619047616,-0.12334290299331918,-0.07757448934627709,-0.045768413647042094,-11.198857913899182,-11.561785112722756,-0.2161449224081504,0.04194595727920718
WMT,0.49206349206349204,-0.15765097950981988,-0.07757448934627709,-0.08007649016354279,-14.275458620990984,-15.975229996186956,-0.24214082131292464,0.04371376776530612
