symbol,accuracy,strategy_return,buy_hold_return,performance,sharpe_ratio,sortino_ratio,max_drawdown,volatility
AMGN,0.42857142857142855,-0.09898012459255712,-0.05828136420956609,-0.04069876038299103,-9.403502976472545,-14.228171219004855,-0.19394376291956575,0.03919610297430028
BMY,0.42857142857142855,-0.09898012459255712,-0.05828136420956609,-0.04069876038299103,-9.403502976472545,-14.228171219004855,-0.19394376291956575,0.03919610297430028
GILD,0.4603174603174603,0.034408856054816805,0.22285604597331066,-0.18844718991849385,4.722740138957765,6.653010960272374,-0.11618861099809966,0.038544404970894765
CVS,0.5238095238095238,-0.00817100394996828,0.03261418709166852,-0.040785191041636804,0.6538143187462783,0.8531281147072648,-0.1394465206948016,0.044152623297733055
TSLA,0.5238095238095238,-0.00817100394996828,0.03261418709166852,-0.040785191041636804,0.6538143187462783,0.8531281147072648,-0.1394465206948016,0.044152623297733055
MCD,0.4603174603174603,0.034408856054816805,0.22285604597331066,-0.18844718991849385,4.722740138957765,6.653010960272374,-0.11618861099809966,0.038544404970894765
NKE,0.4603174603174603,0.034408856054816805,0.22285604597331066,-0.18844718991849385,4.722740138957765,6.653010960272374,-0.11618861099809966,0.038544404970894765
HD,0.42857142857142855,-0.09898012459255712,-0.05828136420956609,-0.04069876038299103,-9.403502976472545,-14.228171219004855,-0.19394376291956575,0.03919610297430028
SBUX,0.4603174603174603,0.034408856054816805,0.22285604597331066,-0.18844718991849385,4.722740138957765,6.653010960272374,-0.11618861099809966,0.038544404970894765
LOW,0.4603174603174603,0.034408856054816805,0.22285604597331066,-0.18844718991849385,4.722740138957765,6.653010960272374,-0.11618861099809966,0.038544404970894765
NFLX,0.4603174603174603,0.034408856054816805,0.22285604597331066,-0.18844718991849385,4.722740138957765,6.653010960272374,-0.11618861099809966,0.038544404970894765
TJX,0.4603174603174603,0.034408856054816805,0.22285604597331066,-0.18844718991849385,4.722740138957765,6.653010960272374,-0.11618861099809966,0.038544404970894765
GM,0.4603174603174603,0.034408856054816805,0.22285604597331066,-0.18844718991849385,4.722740138957765,6.653010960272374,-0.11618861099809966,0.038544404970894765
BKNG,0.5079365079365079,0.03314874789897959,0.022253725049436346,0.010895022849543246,4.215092062850011,3.451348881257119,-0.1766264848907899,0.052063588640281905
KO,0.5079365079365079,0.03314874789897959,0.022253725049436346,0.010895022849543246,4.215092062850011,3.451348881257119,-0.1766264848907899,0.052063588640281905
WMT,0.49206349206349204,0.19362940179144061,0.26978049195295895,-0.07615109016151833,18.0953669704371,30.14146350726501,-0.10888729154474427,0.04223821147247492
PG,0.49206349206349204,0.19362940179144061,0.26978049195295895,-0.07615109016151833,18.0953669704371,30.14146350726501,-0.10888729154474427,0.04223821147247492
COST,0.5079365079365079,0.03314874789897959,0.022253725049436346,0.010895022849543246,4.215092062850011,3.451348881257119,-0.1766264848907899,0.052063588640281905
PEP,0.49206349206349204,0.19362940179144061,0.26978049195295895,-0.07615109016151833,18.0953669704371,30.14146350726501,-0.10888729154474427,0.04223821147247492
CL,0.49206349206349204,0.19362940179144061,0.26978049195295895,-0.07615109016151833,18.0953669704371,30.14146350726501,-0.10888729154474427,0.04223821147247492
STZ,0.6349206349206349,0.2393350888662651,0.20206266046861554,0.03727242839764955,35.81567535090346,61.07303899803273,-0.046724694580067325,0.02452722728634223
MDLZ,0.49206349206349204,0.19362940179144061,0.26978049195295895,-0.07615109016151833,18.0953669704371,30.14146350726501,-0.10888729154474427,0.04223821147247492
CVX,0.49206349206349204,0.19362940179144061,0.26978049195295895,-0.07615109016151833,18.0953669704371,30.14146350726501,-0.10888729154474427,0.04223821147247492
SLB,0.49206349206349204,0.19362940179144061,0.26978049195295895,-0.07615109016151833,18.0953669704371,30.14146350726501,-0.10888729154474427,0.04223821147247492
EOG,0.49206349206349204,0.19362940179144061,0.26978049195295895,-0.07615109016151833,18.0953669704371,30.14146350726501,-0.10888729154474427,0.04223821147247492
COP,0.47619047619047616,0.00669427126522848,-0.020702998887124013,0.027397270152352493,2.025125025751639,2.422908353453779,-0.15267642507104223,0.045584102333218156
MPC,0.49206349206349204,0.19362940179144061,0.26978049195295895,-0.07615109016151833,18.0953669704371,30.14146350726501,-0.10888729154474427,0.04223821147247492
PSX,0.47619047619047616,0.00669427126522848,-0.020702998887124013,0.027397270152352493,2.025125025751639,2.422908353453779,-0.15267642507104223,0.045584102333218156
VLO,0.47619047619047616,0.00669427126522848,-0.020702998887124013,0.027397270152352493,2.025125025751639,2.422908353453779,-0.15267642507104223,0.045584102333218156
BA,0.47619047619047616,0.00669427126522848,-0.020702998887124013,0.027397270152352493,2.025125025751639,2.422908353453779,-0.15267642507104223,0.045584102333218156
GE,0.47619047619047616,0.00669427126522848,-0.020702998887124013,0.027397270152352493,2.025125025751639,2.422908353453779,-0.15267642507104223,0.045584102333218156
CAT,0.47619047619047616,0.00669427126522848,-0.020702998887124013,0.027397270152352493,2.025125025751639,2.422908353453779,-0.15267642507104223,0.045584102333218156
UPS,0.47619047619047616,0.00669427126522848,-0.020702998887124013,0.027397270152352493,2.025125025751639,2.422908353453779,-0.15267642507104223,0.045584102333218156
HON,0.47619047619047616,0.00669427126522848,-0.020702998887124013,0.027397270152352493,2.025125025751639,2.422908353453779,-0.15267642507104223,0.045584102333218156
RTX,0.47619047619047616,0.00669427126522848,-0.020702998887124013,0.027397270152352493,2.025125025751639,2.422908353453779,-0.15267642507104223,0.045584102333218156
EMR,0.3968253968253968,-0.02655346840148798,0.039463002020748705,-0.06601647042223668,-0.9714241620063737,-1.7760247932468791,-0.16167721137607505,0.045416549549465585
ETN,0.3968253968253968,-0.02655346840148798,0.039463002020748705,-0.06601647042223668,-0.9714241620063737,-1.7760247932468791,-0.16167721137607505,0.045416549549465585
T,0.3968253968253968,-0.02655346840148798,0.039463002020748705,-0.06601647042223668,-0.9714241620063737,-1.7760247932468791,-0.16167721137607505,0.045416549549465585
CMCSA,0.3968253968253968,-0.02655346840148798,0.039463002020748705,-0.06601647042223668,-0.9714241620063737,-1.7760247932468791,-0.16167721137607505,0.045416549549465585
VZ,0.3968253968253968,-0.02655346840148798,0.039463002020748705,-0.06601647042223668,-0.9714241620063737,-1.7760247932468791,-0.16167721137607505,0.045416549549465585
DIS,0.3968253968253968,-0.02655346840148798,0.039463002020748705,-0.06601647042223668,-0.9714241620063737,-1.7760247932468791,-0.16167721137607505,0.045416549549465585
CHTR,0.3968253968253968,-0.02655346840148798,0.039463002020748705,-0.06601647042223668,-0.9714241620063737,-1.7760247932468791,-0.16167721137607505,0.045416549549465585
LIN,0.3968253968253968,-0.02655346840148798,0.039463002020748705,-0.06601647042223668,-0.9714241620063737,-1.7760247932468791,-0.16167721137607505,0.045416549549465585
APD,0.3968253968253968,-0.02655346840148798,0.039463002020748705,-0.06601647042223668,-0.9714241620063737,-1.7760247932468791,-0.16167721137607505,0.045416549549465585
ECL,0.3968253968253968,0.00965341219825655,0.07596175444767272,-0.06630834224941617,2.1999381712297295,3.9103996142537394,-0.11597132418738157,0.03798927395584778
SHW,0.3968253968253968,0.00965341219825655,0.07596175444767272,-0.06630834224941617,2.1999381712297295,3.9103996142537394,-0.11597132418738157,0.03798927395584778
FCX,0.3968253968253968,0.00965341219825655,0.07596175444767272,-0.06630834224941617,2.1999381712297295,3.9103996142537394,-0.11597132418738157,0.03798927395584778
PPG,0.3968253968253968,0.00965341219825655,0.07596175444767272,-0.06630834224941617,2.1999381712297295,3.9103996142537394,-0.11597132418738157,0.03798927395584778
NEM,0.3968253968253968,0.00965341219825655,0.07596175444767272,-0.06630834224941617,2.1999381712297295,3.9103996142537394,-0.11597132418738157,0.03798927395584778
DUK,0.3968253968253968,0.00965341219825655,0.07596175444767272,-0.06630834224941617,2.1999381712297295,3.9103996142537394,-0.11597132418738157,0.03798927395584778
DD,0.3968253968253968,0.00965341219825655,0.07596175444767272,-0.06630834224941617,2.1999381712297295,3.9103996142537394,-0.11597132418738157,0.03798927395584778
NEE,0.3968253968253968,0.00965341219825655,0.07596175444767272,-0.06630834224941617,2.1999381712297295,3.9103996142537394,-0.11597132418738157,0.03798927395584778
SO,0.3968253968253968,0.00965341219825655,0.07596175444767272,-0.06630834224941617,2.1999381712297295,3.9103996142537394,-0.11597132418738157,0.03798927395584778
AEP,0.3968253968253968,0.00965341219825655,0.07596175444767272,-0.06630834224941617,2.1999381712297295,3.9103996142537394,-0.11597132418738157,0.03798927395584778
SRE,0.6825396825396826,0.29135140045163954,0.34534435795916085,-0.05399295750752131,36.593493518037036,39.91832730697904,-0.057197277193547294,0.028712179068266442
AMT,0.6825396825396826,0.29135140045163954,0.34534435795916085,-0.05399295750752131,36.593493518037036,39.91832730697904,-0.057197277193547294,0.028712179068266442
EXC,0.6825396825396826,0.29135140045163954,0.34534435795916085,-0.05399295750752131,36.593493518037036,39.91832730697904,-0.057197277193547294,0.028712179068266442
WELL,0.6825396825396826,0.29135140045163954,0.34534435795916085,-0.05399295750752131,36.593493518037036,39.91832730697904,-0.057197277193547294,0.028712179068266442
PSA,0.6825396825396826,0.29135140045163954,0.34534435795916085,-0.05399295750752131,36.593493518037036,39.91832730697904,-0.057197277193547294,0.028712179068266442
PLD,0.6825396825396826,0.29135140045163954,0.34534435795916085,-0.05399295750752131,36.593493518037036,39.91832730697904,-0.057197277193547294,0.028712179068266442
EQIX,0.6825396825396826,0.29135140045163954,0.34534435795916085,-0.05399295750752131,36.593493518037036,39.91832730697904,-0.057197277193547294,0.028712179068266442
SPG,0.6825396825396826,0.29135140045163954,0.34534435795916085,-0.05399295750752131,36.593493518037036,39.91832730697904,-0.057197277193547294,0.028712179068266442
